transition_state,n,first_timepoint,last_timepoint,first_day,last_day,mean_escape,mean_H,mean_R,mean_S,mean_M,mean_Phi
low_escape_baseline,6,1,66,1.0,66.0,0.0035166666666666666,-1.4333994193645736,0.1646746697152893,-0.7733004330510896,-0.896020452266098,-0.7345114087416181
intermediate_transition,2,55,86,55.0,86.0,0.014100000000000001,0.10026871856888009,0.35347629798713126,-0.9086399755908048,-0.5974768861490666,-0.26309296129596493
coherent_escape_surge,1,82,82,82.0,82.0,0.9126,0.5647274330613825,0.4617430637617645,1.547667873286671,1.5950447494318742,1.042295779885423
alternate_diversity_state,4,89,95,89.0,95.0,0.0438125,0.7859607908817035,1.263700176732018,-0.26950961406634755,-0.609849576734158,0.292575444203304
retained_escape_state,5,98,101ETA*,98.0,101.0,0.6766300000000001,0.6804029600635639,-0.7474256452120044,0.6987697377698716,0.9033139439980129,0.383765249154861
high_memory_escape_return,2,99,101,99.0,101.0,0.836425,0.6446368410718328,-1.7372080794479063,1.2468022218087544,1.4494301617047078,0.4009152862843472
