repo,default_branch,path,filename,suffix,size_bytes,github_blob_url,raw_url,hrsm_tags
Steven-Kemp/sequence_files,main,illumina/NB14_CAMB-1B5607.bam.gz,NB14_CAMB-1B5607.bam.gz,.gz,17520300,https://api.github.com/repos/Steven-Kemp/sequence_files/git/blobs/d2ea13b2c3b670e12be570e496eabdbc8cb287ea,https://raw.githubusercontent.com/Steven-Kemp/sequence_files/main/illumina/NB14_CAMB-1B5607.bam.gz,read_or_alignment_like
Steven-Kemp/sequence_files,main,illumina/NB14_CAMB-1B5CBA.bam.gz,NB14_CAMB-1B5CBA.bam.gz,.gz,16865173,https://api.github.com/repos/Steven-Kemp/sequence_files/git/blobs/9988962e5233b092c11cabb1878c7fc1d051b1bf,https://raw.githubusercontent.com/Steven-Kemp/sequence_files/main/illumina/NB14_CAMB-1B5CBA.bam.gz,read_or_alignment_like
Steven-Kemp/sequence_files,main,illumina/NB15_CAMB-1B5CC9.bam.gz,NB15_CAMB-1B5CC9.bam.gz,.gz,11767859,https://api.github.com/repos/Steven-Kemp/sequence_files/git/blobs/4cf7bc4938fc627db7582a59964cf122accc5609,https://raw.githubusercontent.com/Steven-Kemp/sequence_files/main/illumina/NB15_CAMB-1B5CC9.bam.gz,read_or_alignment_like
Steven-Kemp/sequence_files,main,illumina/NB16_CAMB-1B19D5.bam.gz,NB16_CAMB-1B19D5.bam.gz,.gz,14195491,https://api.github.com/repos/Steven-Kemp/sequence_files/git/blobs/efa0bc43a0ad6ab1194b315aefe8f282d798ce74,https://raw.githubusercontent.com/Steven-Kemp/sequence_files/main/illumina/NB16_CAMB-1B19D5.bam.gz,read_or_alignment_like
Steven-Kemp/sequence_files,main,illumina/NB16_CAMB-1B5BAE.bam.gz,NB16_CAMB-1B5BAE.bam.gz,.gz,18740609,https://api.github.com/repos/Steven-Kemp/sequence_files/git/blobs/d236f69776f79a4c504701f502c457f22839bc10,https://raw.githubusercontent.com/Steven-Kemp/sequence_files/main/illumina/NB16_CAMB-1B5BAE.bam.gz,read_or_alignment_like
Steven-Kemp/sequence_files,main,illumina/NB16_CAMB-1B5C9C.bam.gz,NB16_CAMB-1B5C9C.bam.gz,.gz,19309123,https://api.github.com/repos/Steven-Kemp/sequence_files/git/blobs/e802ff6e64bc7e75590d537f9899fb123db9a41f,https://raw.githubusercontent.com/Steven-Kemp/sequence_files/main/illumina/NB16_CAMB-1B5C9C.bam.gz,read_or_alignment_like
Steven-Kemp/sequence_files,main,illumina/NB23_CAMB-1B4FB2.bam.gz,NB23_CAMB-1B4FB2.bam.gz,.gz,13152699,https://api.github.com/repos/Steven-Kemp/sequence_files/git/blobs/340489c8b301cf1c930356fcb4e2a4412b0a66cb,https://raw.githubusercontent.com/Steven-Kemp/sequence_files/main/illumina/NB23_CAMB-1B4FB2.bam.gz,read_or_alignment_like
Steven-Kemp/sequence_files,main,illumina/files.md,files.md,.md,16,https://api.github.com/repos/Steven-Kemp/sequence_files/git/blobs/16eea25cca2de1b7f1f900b48fcfa69a04f8ecf5,https://raw.githubusercontent.com/Steven-Kemp/sequence_files/main/illumina/files.md,unclassified
Steven-Kemp/sequence_files,main,illumina_consenus/Consensus_Illumina.fa,Consensus_Illumina.fa,.fa,628448,https://api.github.com/repos/Steven-Kemp/sequence_files/git/blobs/fbc60cc16ab95d18ca6a7c949bf161745055eaa0,https://raw.githubusercontent.com/Steven-Kemp/sequence_files/main/illumina_consenus/Consensus_Illumina.fa,sequence_like
Steven-Kemp/sequence_files,main,illumina_consenus/new_files,new_files,,1,https://api.github.com/repos/Steven-Kemp/sequence_files/git/blobs/8b137891791fe96927ad78e64b0aad7bded08bdc,https://raw.githubusercontent.com/Steven-Kemp/sequence_files/main/illumina_consenus/new_files,unclassified
