transition_state,n,first_day,last_day,mean_step_velocity,median_step_velocity,max_step_velocity,mean_calendar_velocity,median_calendar_velocity,max_calendar_velocity,mean_step_acceleration,max_step_acceleration,mean_calendar_acceleration,max_calendar_acceleration,same_day_steps
low_escape_baseline,6,1.0,66.0,1.2254314731467846,1.28770090775776,2.6412250820686416,0.24876003010763872,0.17693008161447077,0.6603062705171604,0.22308453705624237,2.3910397591588133,0.010319685925717716,0.1633391695535274,0
intermediate_transition,2,55.0,86.0,2.3871048341575634,2.3871048341575634,3.3142305380808184,0.5602767302835331,0.5602767302835331,0.8285576345202046,-0.32126930939541865,0.3624291468986103,0.07707455050479257,0.13965193513364074,0
coherent_escape_surge,1,82.0,82.0,4.319198303770266,4.319198303770266,4.319198303770266,0.2699498939856416,0.2699498939856416,0.2699498939856416,2.8413464715904437,2.8413464715904437,0.008474982963989977,0.008474982963989977,0
alternate_diversity_state,4,89.0,95.0,1.0632021767788773,1.2019921675997338,1.6876121259680075,0.389116297115067,0.3563295627381322,0.8438060629840037,-0.4066546030282027,1.5263998800199736,0.08314663563446716,0.42190303149200187,1
retained_escape_state,5,98.0,101.0,1.5336435584542165,0.585904148285702,3.6700823754956375,0.46305025001747807,0.5186755676457937,1.2233607918318792,0.17024663097986104,1.98247024952763,0.40613623373493435,0.5732148906097175,2
high_memory_escape_return,2,99.0,101.0,1.561371422783894,1.561371422783894,1.7044519852380424,0.8522259926190212,0.8522259926190212,1.7044519852380424,-0.5602772102687834,0.8450759697200282,0.48109119340616324,0.48109119340616324,1
