transition_state,n,first_day,last_day,mean_velocity,median_velocity,max_velocity,mean_acceleration,median_acceleration,max_acceleration,same_day_steps
low_escape_baseline,6,1.0,66.0,0.2487600301076387,0.17693008161447074,0.6603062705171604,0.01031968592571772,-0.0143314235895508,0.1633391695535274,0
intermediate_transition,2,55.0,86.0,0.5602767302835331,0.5602767302835331,0.8285576345202046,0.07707455050479255,0.07707455050479255,0.1396519351336407,0
coherent_escape_surge,1,82.0,82.0,0.2699498939856416,0.2699498939856416,0.2699498939856416,0.0084749829639899,0.0084749829639899,0.0084749829639899,0
alternate_diversity_state,4,89.0,95.0,4.419422445815914,0.6452291148447968,16.121224594803387,394.4276478031932,-0.08623156229430015,1585.5217636032712,1
retained_escape_state,5,98.0,101.0,58.58794942041616,1.2233607918318792,232.0340810234232,5710.146148552032,0.1265182429492918,23032.962903818512,2
high_memory_escape_return,2,99.0,101.0,71.76676900910631,71.76676900910631,141.82908603297457,7063.034102714947,7063.034102714947,14125.587114236489,1
