transition_state,n,first_day,last_day,mean_U,min_U,max_U,mean_Phi,mean_escape,mean_step_velocity,median_step_velocity,max_step_velocity,mean_calendar_velocity,median_calendar_velocity,max_calendar_velocity,same_day_steps
low_escape_baseline,6,1.0,66.0,0.7345114087416181,0.393109918093628,0.8920996677463529,-0.7345114087416181,0.0035166666666666666,1.2254314731467846,1.28770090775776,2.6412250820686416,0.2487600301076387,0.17693008161447074,0.6603062705171604,0
intermediate_transition,2,55.0,86.0,0.26309296129596493,0.0806734841947594,0.4455124383971705,-0.26309296129596493,0.014100000000000001,2.3871048341575634,2.3871048341575634,3.3142305380808184,0.5602767302835331,0.5602767302835331,0.8285576345202046,0
coherent_escape_surge,1,82.0,82.0,-1.042295779885423,-1.042295779885423,-1.042295779885423,1.042295779885423,0.9126,4.319198303770266,4.319198303770266,4.319198303770266,0.2699498939856416,0.2699498939856416,0.2699498939856416,0
alternate_diversity_state,4,89.0,95.0,-0.292575444203304,-0.6653422336272812,-0.0589717730002465,0.292575444203304,0.0438125,1.0632021767788773,1.2019921675997338,1.6876121259680077,0.389116297115067,0.3563295627381322,0.8438060629840037,1
retained_escape_state,5,98.0,101.0,-0.383765249154861,-0.5559648166808866,-0.2159624359018324,0.383765249154861,0.6766300000000001,1.5336435584542165,0.585904148285702,3.6700823754956375,0.46305025001747807,0.5186755676457937,1.2233607918318792,2
high_memory_escape_return,2,99.0,101.0,-0.4009152862843472,-0.7964810079110158,-0.0053495646576785,0.4009152862843472,0.836425,1.561371422783894,1.561371422783894,1.7044519852380424,0.8522259926190212,0.8522259926190212,1.7044519852380424,1
