from_state,low_escape_baseline,intermediate_transition,alternate_diversity_state,coherent_escape_surge,retained_escape_state,high_memory_escape_return
low_escape_baseline,0.6666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0
intermediate_transition,0.5,0.0,0.5,0.0,0.0,0.0
alternate_diversity_state,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0
coherent_escape_surge,0.0,1.0,0.0,0.0,0.0,0.0
retained_escape_state,0.0,0.0,0.0,0.0,0.0,1.0
high_memory_escape_return,0.0,0.0,0.0,0.0,1.0,0.0
