case_id,run_accession,sample_accession,study_accession,sample_title,scientific_name,instrument_platform,instrument_model,library_layout,library_strategy,read_count,base_count,fastq_ftp,submitted_ftp,bam_ftp,n_fastq_links,n_submitted_links,n_bam_links,has_fastq,has_submitted,has_bam,metadata_usable,needs_day_mapping,needs_case_grouping,download_status
BOYLE_2025_PRJNA1295507,SRR34737029,SAMN50212626,PRJNA1295507,LC-08331,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,95332,39724213,ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/029/SRR34737029/SRR34737029.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/029/SRR34737029/SRR34737029_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/029/SRR34737029/SRR34737029_2.fastq.gz,,,3,0,0,True,False,False,True,True,True,not_downloaded
BOYLE_2025_PRJNA1295507,SRR34737033,SAMN50212623,PRJNA1295507,LC-10356,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,97874,40410187,ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/033/SRR34737033/SRR34737033.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/033/SRR34737033/SRR34737033_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/033/SRR34737033/SRR34737033_2.fastq.gz,,,3,0,0,True,False,False,True,True,True,not_downloaded
BOYLE_2025_PRJNA1295507,SRR34737046,SAMN50212618,PRJNA1295507,LC-02672,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,85038,32876184,ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/046/SRR34737046/SRR34737046.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/046/SRR34737046/SRR34737046_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/046/SRR34737046/SRR34737046_2.fastq.gz,,,3,0,0,True,False,False,True,True,True,not_downloaded
BOYLE_2025_PRJNA1295507,SRR34737007,SAMN50212638,PRJNA1295507,LC-09975,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,102814,42310144,ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/007/SRR34737007/SRR34737007.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/007/SRR34737007/SRR34737007_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/007/SRR34737007/SRR34737007_2.fastq.gz,,,3,0,0,True,False,False,True,True,True,not_downloaded
BOYLE_2025_PRJNA1295507,SRR34737018,SAMN50212630,PRJNA1295507,LC-0030,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,98176,39277205,ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/018/SRR34737018/SRR34737018.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/018/SRR34737018/SRR34737018_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/018/SRR34737018/SRR34737018_2.fastq.gz,,,3,0,0,True,False,False,True,True,True,not_downloaded
BOYLE_2025_PRJNA1295507,SRR34737004,SAMN50212641,PRJNA1295507,LC-0426,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,78911,29330798,ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/004/SRR34737004/SRR34737004.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/004/SRR34737004/SRR34737004_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/004/SRR34737004/SRR34737004_2.fastq.gz,,,3,0,0,True,False,False,True,True,True,not_downloaded
BOYLE_2025_PRJNA1295507,SRR34737009,SAMN50212636,PRJNA1295507,LC-07119,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,110723,44533455,ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/009/SRR34737009/SRR34737009.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/009/SRR34737009/SRR34737009_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/009/SRR34737009/SRR34737009_2.fastq.gz,,,3,0,0,True,False,False,True,True,True,not_downloaded
BOYLE_2025_PRJNA1295507,SRR34737022,SAMN50212611,PRJNA1295507,LC-03349,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,85880,34054115,ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/022/SRR34737022/SRR34737022.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/022/SRR34737022/SRR34737022_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/022/SRR34737022/SRR34737022_2.fastq.gz,,,3,0,0,True,False,False,True,True,True,not_downloaded
BOYLE_2025_PRJNA1295507,SRR34737023,SAMN50212610,PRJNA1295507,LC-03371,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,109280,46063765,ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/023/SRR34737023/SRR34737023.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/023/SRR34737023/SRR34737023_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/023/SRR34737023/SRR34737023_2.fastq.gz,,,3,0,0,True,False,False,True,True,True,not_downloaded
BOYLE_2025_PRJNA1295507,SRR34737032,SAMN50212624,PRJNA1295507,LC-10380,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,103059,36840849,ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/032/SRR34737032/SRR34737032.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/032/SRR34737032/SRR34737032_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/032/SRR34737032/SRR34737032_2.fastq.gz,,,3,0,0,True,False,False,True,True,True,not_downloaded
