article_url,anchor_text,href,tags
https://www.nature.com/articles/s41467-021-26602-3,Peer Review File (download PDF ),https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-021-26602-3/MediaObjects/41467_2021_26602_MOESM2_ESM.pdf,downloadable_candidate
https://www.nature.com/articles/s41467-021-26602-3,Reporting Summary (download PDF ),https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-021-26602-3/MediaObjects/41467_2021_26602_MOESM3_ESM.pdf,downloadable_candidate
https://www.nature.com/articles/s41467-021-26602-3,Source Data (download XLSX ),https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-021-26602-3/MediaObjects/41467_2021_26602_MOESM4_ESM.xlsx,data_candidate;downloadable_candidate
https://www.nature.com/articles/s41467-021-26602-3,Research data,https://www.springernature.com/gp/authors/research-data,data_candidate
https://pmc.ncbi.nlm.nih.gov/articles/PMC8583298/,Skip to main content,https://pmc.ncbi.nlm.nih.gov/articles/PMC8583298/#main-content,accession_candidate
https://pmc.ncbi.nlm.nih.gov/articles/PMC8583298/,,https://www.ncbi.nlm.nih.gov/,accession_candidate
https://pmc.ncbi.nlm.nih.gov/articles/PMC8583298/,Dashboard,https://www.ncbi.nlm.nih.gov/myncbi/,accession_candidate
https://pmc.ncbi.nlm.nih.gov/articles/PMC8583298/,Publications,https://www.ncbi.nlm.nih.gov/myncbi/collections/bibliography/,accession_candidate
https://pmc.ncbi.nlm.nih.gov/articles/PMC8583298/,Account settings,https://www.ncbi.nlm.nih.gov/account/settings/,accession_candidate
https://pmc.ncbi.nlm.nih.gov/articles/PMC8583298/,,https://pmc.ncbi.nlm.nih.gov/,accession_candidate
https://pmc.ncbi.nlm.nih.gov/articles/PMC8583298/,Journal List,https://pmc.ncbi.nlm.nih.gov/journals/,accession_candidate
https://pmc.ncbi.nlm.nih.gov/articles/PMC8583298/,User Guide,https://pmc.ncbi.nlm.nih.gov/about/userguide/,accession_candidate
https://pmc.ncbi.nlm.nih.gov/articles/PMC8583298/,,https://pmc.ncbi.nlm.nih.gov/articles/PMC8583298/pdf/cancers-13-05488.pdf,downloadable_candidate;accession_candidate
