run_accession	study_accession	secondary_study_accession	sample_accession	experiment_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_layout	library_strategy	read_count	base_count	fastq_ftp	submitted_ftp	bam_ftp	sample_title	experiment_title
SRR34737029	PRJNA1295507	SRP604007	SAMN50212626	SRX29871228	2697049	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	95332	39724213	ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/029/SRR34737029/SRR34737029.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/029/SRR34737029/SRR34737029_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/029/SRR34737029/SRR34737029_2.fastq.gz			LC-08331	Illumina MiSeq sequencing: SARS-CoV-2 whole genome sequencing from pediatric clinical isolate
SRR34737033	PRJNA1295507	SRP604007	SAMN50212623	SRX29871224	2697049	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	97874	40410187	ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/033/SRR34737033/SRR34737033.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/033/SRR34737033/SRR34737033_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/033/SRR34737033/SRR34737033_2.fastq.gz			LC-10356	Illumina MiSeq sequencing: SARS-CoV-2 whole genome sequencing from pediatric clinical isolate
SRR34737046	PRJNA1295507	SRP604007	SAMN50212618	SRX29871211	2697049	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	85038	32876184	ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/046/SRR34737046/SRR34737046.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/046/SRR34737046/SRR34737046_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/046/SRR34737046/SRR34737046_2.fastq.gz			LC-02672	Illumina MiSeq sequencing: SARS-CoV-2 whole genome sequencing from pediatric clinical isolate
SRR34737007	PRJNA1295507	SRP604007	SAMN50212638	SRX29871250	2697049	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	102814	42310144	ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/007/SRR34737007/SRR34737007.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/007/SRR34737007/SRR34737007_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/007/SRR34737007/SRR34737007_2.fastq.gz			LC-09975	Illumina MiSeq sequencing: SARS-CoV-2 whole genome sequencing from pediatric clinical isolate
SRR34737018	PRJNA1295507	SRP604007	SAMN50212630	SRX29871239	2697049	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	98176	39277205	ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/018/SRR34737018/SRR34737018.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/018/SRR34737018/SRR34737018_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/018/SRR34737018/SRR34737018_2.fastq.gz			LC-0030	Illumina MiSeq sequencing: SARS-CoV-2 whole genome sequencing from pediatric clinical isolate
SRR34737004	PRJNA1295507	SRP604007	SAMN50212641	SRX29871253	2697049	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	78911	29330798	ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/004/SRR34737004/SRR34737004.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/004/SRR34737004/SRR34737004_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/004/SRR34737004/SRR34737004_2.fastq.gz			LC-0426	Illumina MiSeq sequencing: SARS-CoV-2 whole genome sequencing from pediatric clinical isolate
SRR34737009	PRJNA1295507	SRP604007	SAMN50212636	SRX29871248	2697049	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	110723	44533455	ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/009/SRR34737009/SRR34737009.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/009/SRR34737009/SRR34737009_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/009/SRR34737009/SRR34737009_2.fastq.gz			LC-07119	Illumina MiSeq sequencing: SARS-CoV-2 whole genome sequencing from pediatric clinical isolate
SRR34737022	PRJNA1295507	SRP604007	SAMN50212611	SRX29871235	2697049	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	85880	34054115	ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/022/SRR34737022/SRR34737022.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/022/SRR34737022/SRR34737022_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/022/SRR34737022/SRR34737022_2.fastq.gz			LC-03349	Illumina MiSeq sequencing: SARS-CoV-2 whole genome sequencing from pediatric clinical isolate
SRR34737023	PRJNA1295507	SRP604007	SAMN50212610	SRX29871234	2697049	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	109280	46063765	ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/023/SRR34737023/SRR34737023.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/023/SRR34737023/SRR34737023_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/023/SRR34737023/SRR34737023_2.fastq.gz			LC-03371	Illumina MiSeq sequencing: SARS-CoV-2 whole genome sequencing from pediatric clinical isolate
SRR34737032	PRJNA1295507	SRP604007	SAMN50212624	SRX29871225	2697049	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	103059	36840849	ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/032/SRR34737032/SRR34737032.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/032/SRR34737032/SRR34737032_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/032/SRR34737032/SRR34737032_2.fastq.gz			LC-10380	Illumina MiSeq sequencing: SARS-CoV-2 whole genome sequencing from pediatric clinical isolate
